# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	5794
#@/user_id	32c9a853-ebe4-49e9-ac71-f12fd2996abe
a 	吖	c=2 d=0.00608616 t=5794
da jian ding 	大鑑定	c=1 d=0.722527 t=5794
da kai 	打開	c=1 d=1.51932e-09 t=5794
da le 	打了	c=1 d=1.37166e-12 t=5794
da li 	大理	c=4 d=2.85131e-08 t=5794
da ma jiang 	打麻將	c=1 d=4.46161e-06 t=5794
da mao xian 	大冒險	c=1 d=4.0468e-05 t=5794
da pai 	打牌	c=0 d=3.28988e-11 t=5794
da po sha guo 	打破沙鍋	c=1 d=0.0203434 t=5794
da xiao 	大小	c=1 d=0.847894 t=5794
da xie 	大寫	c=1 d=0.00327971 t=5794
da yi 	大衣	c=1 d=2.07685e-10 t=5794
da yi ma 	大姨媽	c=1 d=0.000110555 t=5794
da yu 	大於	c=3 d=2.82631 t=5794
da yu mao qiu 	打羽毛球	c=1 d=1.53486e-11 t=5794
da zao 	打造	c=2 d=5.38857e-13 t=5794
da zhong 	大衆	c=2 d=2.31806e-12 t=5794
dai 	呆	c=1 d=1.36812e-11 t=5794
dai 	帶	c=3 d=3.86943e-10 t=5794
dai ge 	帶個	c=1 d=2.23784e-06 t=5794
dai kuan 	貸款	c=1 d=2.52359e-08 t=5794
dai le 	待了	c=1 d=0.000435072 t=5794
dai ma 	代碼	c=26 d=3.30019 t=5794
dai ma kuai 	代碼塊	c=1 d=0.00319873 t=5794
dan 	但	c=2 d=0.32628 t=5794
dan du 	單獨	c=1 d=0.235746 t=5794
dan gao 	蛋糕	c=1 d=8.3786e-08 t=5794
dan ji 	單機	c=2 d=3.13797e-05 t=5794
dan shi 	但是	c=1 d=2.20527e-10 t=5794
dan yuan 	單元	c=11 d=0.307495 t=5794
dan yuan ce shi 	單元測試	c=2 d=0.118677 t=5794
dang qian 	當前	c=1 d=5.39704e-10 t=5794
dao 	到	c=15 d=0.0339653 t=5794
dao chu 	到處	c=1 d=1.523e-08 t=5794
dao di 	到底	c=2 d=0.00203434 t=5794
dao le 	到了	c=1 d=1.12454e-06 t=5794
dao lun 	導論	c=2 d=5.18366e-06 t=5794
dao na 	到哪	c=1 d=1.71688e-06 t=5794
dao ru 	導入	c=1 d=2.78852e-06 t=5794
dao shi 	倒是	c=2 d=6.49793e-08 t=5794
dao shou 	到手	c=0 d=1.38879e-12 t=5794
dao shou le 	到手了	c=1 d=1.39576e-11 t=5794
dao xu 	倒序	c=1 d=0.408608 t=5794
de 	地	c=3 d=0.144861 t=5794
de 	得	c=2 d=0.01945 t=5794
de 	的	c=201 d=5.3666 t=5794
de qin 	德勤	c=1 d=8.61441e-11 t=5794
de qin 	德欽	c=1 d=8.65759e-11 t=5794
de zhi 	德治	c=1 d=1.6998e-06 t=5794
deng 	等	c=3 d=6.08916e-08 t=5794
deng deng 	等等	c=1 d=5.71404e-06 t=5794
deng deng ne ge 	等等呢個	c=1 d=5.74268e-05 t=5794
